"id","Company_name","Company_ch_name","Company_ch_fullname","Company_en_fullname","Company_en_name","stock_number","tax_id_number","ch_address","en_address","established_date","listed_date","current_state","TEJ_sector","listed_sector","phone","website","ceo","top_manager","finance_manager","spokesman","staff_number","capital","TEJ_sector_name","new_TEJ_sector_name","TEJ_subsector_name","TEJ_new_sector_name","TEJ_sector_num","TEJ_industry_name","TEJ_subsecor_code","TEJ_subsector_fullname","main_bussiness1","main_bussiness2","main_bussiness3","main_product_dis","last_listed_date","last_IPO_date","first_OTC_date","unlisted_date","last_unIPO_date","update_time"
"11","5536 聖暉","聖暉","聖暉工程科技","Acter Group Corporation Limited","Acter","5536","ID 52524653","台中市西屯區文心路二段201號19樓之1","19F.-1, No.201, Sec. 2, Wenxin Rd., Xitun Dist.,  Taichung, Taiwan","1979-02-19","2009-11-12","Current","31","OTC","04-22615288","http://www.acter.com.tw","梁進利","賴銘崑","曹耘涵(財務部經理)","曹耘涵(協理)","1201","571867420","M23H 電子設備","M2331 其他電子業","M23H1 廠辦機電","其他電子業","M23H","電子設備","M23H1","廠辦機電","電子及生技醫藥等高科技產業無塵室機電.製程設施之設計與建造","節能技術服務","機電空調系統整合","2019/12:無塵室機電整合工程(51.2%),水氣化供應整合工程(33.7%),民生產業機電整合工程(5.6%)","2010-11-10","2009-09-24","2010-11-10","0000-00-00","0000-00-00",\N
"12","6223 旺矽","旺矽","旺矽科技","MPI Corpoartion","MPI","6223","ID 89647050","新竹縣竹北市中和街155 號","155, Chung Ho St., Chupei City, Hsinchu, Taiwan","1995-07-25","2002-07-22","Current","24","OTC","03-5551771","http://www.mpi.com.tw","葛長林","郭遠明","湯復評(經理)","邱靖斐(董事長特別助理)","1537","923175790","M23B 主機板","M2324 半導體","M23B3X PCB材-其他","半導體","M23B","主機板","M23B3X","PCB材-其他","半導體測試零組件加工維修製造進出口買賣","電腦及週邊設備維護買賣研發","機械及其零件之進出口買賣","2019/12:晶圓探針卡(51.1%),光電,半導體自動化設備(25%),其他(23.9%)","2003-01-06","2001-07-11","2003-01-06","0000-00-00","0000-00-00",\N
"13","6261 久元","久元","久元電子","Youngtek Electronics Corporation","Youngtek","6261","ID 86244737","新竹市科學工業園區科技路5 號4 樓","4/F, 5, Technology Rd., HsinChu Science Park, Hsinchu, Taiwan","1991-07-22","2002-11-29","Current","24","OTC","03-6669968","http://www.ytec.com.tw","汪秉龍","蕭維唐","陳巧芬(財務及會計主管)","陳巧芬(經理)","1280","1284979890","M23G 半導體","M2324 半導體","M23G2 IC封測","半導體","M23G","半導體","M23G2","IC封測","半導體及光電產品加工：切割、研磨、測試、挑檢與基板切割等。","半導體及光電設備之研發、製造與銷售：IC/CIS/CCM測試設備等。","0","2019/12:封裝測試代工(50.7%),切割挑檢代工(33.2%),機器組裝等產品銷售及其他(16%)","2004-03-29","2002-08-26","2004-03-29","0000-00-00","0000-00-00",\N
"14","6613 朋億","朋億","朋億","Nova Technology Corp.","Novatech","6613","ID 16034271","新竹縣竹北市嘉豐南路二段76號10樓之1","10F-1, No.76, Sec. 2, Jiafeng S. Rd., Zhubei City, Hsinchu County, Taiwan","1997-06-13","2016-12-22","Current","31","OTC","03-6676868","http://www.novatech.com.tw","梁進利","馬蔚","歐俊彥(財會主管)","馬蔚(執行副總經理)","479","339280000","M23H 電子設備","M2331 其他電子業","M23H1 廠辦機電","其他電子業","M23H","電子設備","M23H1","廠辦機電","高科技產業製程系統、設備製造、安裝及銷售","0","0","2019/12:高科技產業製程供應系統設備銷售(66.5%),高科技產業製程供應系統設備安裝、測試(27.6%),高科技設備材料代理銷售(3%)","2017-12-28","2016-10-18","2017-12-28","0000-00-00","0000-00-00",\N
"15","6640 均華","均華","均華精密工業","Gallant Micro. Machining Co., Ltd.","GMM","6640","ID 53186146","新北市土城區民生街2-1 號","No.2-1, Minsheng St., Tucheng Dist., New Taipei City, Taiwan","2010-10-15","2017-08-11","Current","24","OTC","02-22682216","http://www.gmmcorp.com.tw","梁又文","許鴻銘","何雅雯(財會主管)","石敦智(副總經理)","299","282765000","M23H 電子設備","M2324 半導體","M23H2 電機設備","半導體","M23H","電子設備","M23H2","電機設備","機械設備製造業","模具製造業","機械.模具批發業","2019/12:半導體製程設備(90%),其他(10%)","2018-10-23","2017-06-14","2018-10-23","0000-00-00","0000-00-00",\N
"16","8092 建暐","建暐","建暐精密科技","Chien Wei Precise Technology Co., Ltd.","Chien Wei","8092","ID 76470282","高雄市鳳山區鎮北里鎮北北巷20之16號","No.20-16, Zhenbei N. Ln., Fengshan Dist., Kaohsiung, Taiwan","1984-06-14","2003-04-18","Current","31","OTC","07-7313911","http://www.chienwei.com.tw","李聰林","李聰林","張宏傑(財務經理)","張宏傑(財務經理)","206","388506160","M23H 電子設備","M2331 其他電子業","M23H2 電機設備","其他電子業","M23H","電子設備","M23H2","電機設備","工具機、治具磨床、數控立式磨床及儀器設計製造銷售","IC封裝模具兼精密零組件設計製造","0","2019/12:量測儀器(50.5%),精密零件(28.7%),加工設備(17.8%)","2004-02-02","2002-05-10","2004-02-02","0000-00-00","0000-00-00",\N
"17","6515 穎崴","穎崴","穎崴科技","WinWay Technology Co., Ltd.","WinWay","6515","ID 13145774","高雄市楠梓區創意南路68號","No.68, Chuangyi S. Rd., Nanzi Dist., Kaohsiung City 811, Taiwan","2001-04-10","2019-11-19","Current","24","TSE","07-3610999","http://www.winwayglobal.com/","王嘉煌","王嘉煌","蔡嘉農(財會主管)","李振昆(財務長)","608","336170000","M23B 主機板","M2324 半導體","M23B3X PCB材-其他","半導體","M23B","主機板","M23B3X","PCB材-其他","半導體測試介面、精密彈簧針、探針卡、溫控模組","0","0","2019/12:測試治具(76.1%),接觸元件(18.6%),其他(4.3%)","2021-01-20","2019-08-23","0000-00-00","0000-00-00","0000-00-00",\N
"18","6651 全宇昕","全宇昕","全宇昕科技","Cystech Electronics Corp.","CYSTEK","6651","ID 13063718","新北市中和區中正路716號15樓之7","15F.-7, No.716, Zhongzheng Rd., Zhonghe Dist., New Taipei City, Taiwan","2002-04-10","2017-09-29","Current","24","OTC","02-82273827","http://www.cystekec.com","李建慶","李徐華","陳秀茹(協理)","李徐華(總經理)","100","326029890","M23G 半導體","M2324 半導體","M23G5 IC設計","半導體","M23G","半導體","M23G5","IC設計","電子零組件製造業","電子材料批發業","電子材料零售業","2019/12:高功率場效電晶體(71.6%),電晶體(17.3%),二極體(9.4%)","2021-02-01","2017-08-08","2021-02-01","0000-00-00","0000-00-00",\N
"19","6735 美達科技","美達科技","美達科技","AMIDA Technology, Inc.","AMIDA","6735","ID 13115906","新北市中和區中正路716 號7 樓之1","7F.-1, No. 716, Zhongzheng Rd., Zhonghe Dist., New Taipei","2002-05-10","2019-10-18","Current","31","ROTC","02-82273822","http://www.amidatec.com/","陳林杰","陳林杰","吳文玉(財會副理)","王羿人(業務經理)","53","352000000","M23H 電子設備","M2331 其他電子業","M23H2 電機設備","其他電子業","M23H","電子設備","M23H2","電機設備","半導體之類比暨混合訊號積體電路測試儀器","0","0","2019/12:混合信號(75.4%),其他(12.4%),影像感測產品(12.3%)","2019-10-18","2019-04-24","0000-00-00","0000-00-00","0000-00-00",\N
"20","7556 意德士","意德士","意德士科技","Yeedex Electronic Corporation","Yeedex","7556","ID 70381684","台北市中山區民生東路二段170 號4 樓","4F, No.170, Sec.2, Min Sheng E. Rd., Taipei, Taiwan","1999-07-15","2019-11-15","Current","24","OTC","02-25063000","http://www.yeedex.com.tw","闕聖哲","闕聖哲","莊雅月(財務經理)","闕聖哲(總經理)","24","213860000","M23H 電子設備","M2324 半導體","M23H2 電機設備","半導體","M23H","電子設備","M23H2","電機設備","半導體製程設備之精密零組件與材料、製程次系統之維修","0","0","2019/12:半導體零件(78.5%),維修(20.5%),其他(0.9%)","2020-10-30","2019-08-01","2020-10-30","0000-00-00","0000-00-00",\N
"21","7514 頂程國際","頂程國際","頂程國際","Ding Cheng International Co., Ltd.","Ding Cheng","7514","ID 28877240","台南市新市區光華街5-86號","No.5-86, Guanghua St., Xinshi Dist., Tainan, Taiwan","2007-11-12","2017-01-09","Current","13","GISA","06-5892601","http://www.dcint.com.tw/","蘇左將","蘇左將","蘇左將(總經理)","王巧茹(經理)","16","66305000","M23G 半導體","0","M23G5 IC設計","0","M23G","半導體","M23G5","IC設計","金屬加工用機械批發","未分類其他機械器具批發","電子及半導體生產用機械設備製造","0","2017-01-09","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"22","000116 日盛證券","日盛證券","日盛證券","Jih Sun Securities Co., Ltd.","Jih Sun SCL","000116","ID 03098908","台北市中山區南京東路二段 111號 3樓","3/F, 111, Nanking E. Rd., Sec.2, Taipei, Taiwan","1961-12-08","1996-06-28","Current","17","0","02-25048888","http://www.jihsun.com.tw","唐承健","黃進明","許牧群(財務主管)","黃進明(總經理)","1583","11572127600","M30A 證券","M2800 金融業","M30A 證券","金融業","M30A","證券","M30A","證券","證券商(經目的事業主管機關核准營業項目為限)","期貨業務輔助人(同上)","兼營期貨自營商","2019/12:經紀手續費(52.3%),利息收入(17.1%),股利(11.3%)","1996-06-28","1988-02-27","1996-06-28","2002-02-05","0000-00-00",\N
"23","000930 華南永昌證券","華南永昌證券","華南永昌綜合證券","Hua Nan Securities Co., Ltd.","Hua Nan Sec.","000930","ID 22955774","台北市松山區民生東路四段54號5 樓","5/F, 54, Mingsheng E. Rd., Sec.4, Taipei, Taiwan","1988-06-17","1995-12-27","Current","17","0","02-25456888","http://www.entrust.com.tw","李啟賢","林長慶","王雅珮(副總)","陳宜宗(執行副總經理)","1399","6547743460","M30A 證券","M2800 金融業","M30A 證券","金融業","M30A","證券","M30A","證券","H301011證券商","H408011期貨交易輔助人","H401011期貨商","2019/12:經紀手續費(55.2%),利息收入(14.9%),營業證券出售損益(13.2%)","1995-12-27","1988-06-17","1995-12-27","2001-12-19","0000-00-00",\N
"24","000960 富邦證券","富邦證券","富邦綜合證券","Fubon Securities Co., Ltd.","FBS","000960","ID 22957301","台北市大安區仁愛路四段169 號2 樓及15樓","2F&15F, No.169, Sec.4, Renai Rd., Taipei, Taiwan","1988-07-11","1995-12-12","Current","17","0","02-87716888","http://wwww.fubon.com/securities/home/","韓蔚廷","程明乾","李青蓉(財務主管)","陳克和(資深副總)","1701","16643550000","M30A 證券","M2800 金融業","M30A 證券","金融業","M30A","證券","M30A","證券","H301011證券商","H408011期貨交易輔助人","H401011期貨商","2019/12:經紀手續費(40.9%),營業外(15.6%),利息收入(14.6%)","1995-12-12","1988-07-11","1995-12-12","2001-12-19","0000-00-00",\N
"25","0009A0 永豐金證券","永豐金證券","永豐金證券","SinoPac Securities Corp.","SinoPac","0009A0","ID 23113343","台北市中正區重慶南路一段2 號7 ～8 樓","7/F, 2, Chung Ching S. Rd., Sec.1, Taipei, Taiwan","1988-10-11","1994-12-06","Current","17","0","02-23114345","https://securities.sinopac.com/","朱士廷","江偉源","石練彬(協理)","藍玫君(副總經理)","2198","16212238000","M30A 證券","M2800 金融業","M30A 證券","金融業","M30A","證券","M30A","證券","在集中市場及其營業場所自行或受託買賣有價證券","有價證券股務事項之代理;有價證券買賣融資融券; 承銷有價證券","受託買賣外國有價證券;經營期貨自營業務; 期貨交易輔助人","2019/12:經紀手續費(48.4%),營業證券出售損益(20%),利息收入(17.7%)","1994-12-06","1990-06-28","1994-12-06","2002-05-09","0000-00-00",\N
"26","1101 台泥","台泥","台灣水泥","Taiwan Cement Corp.","Taiwan Cement","1101","ID 11913502","台北市中山區中山北路二段 113號","113, Chungshan N. Rd., Sec. 2, Taipei, Taiwan","1950-12-29","1962-02-09","Current","1","TSE","02-25317099","http://www.taiwancement.com","張安平","李鐘培","9706起NA","黃健強(資深副總經理)","10618","60102548820","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","有關水泥及水泥製品之生產及運銷","有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷","經營有關水泥工業及其附屬事業","2019/12:水泥及熟料(69.5%),電力(12.5%),預拌混凝土(9.1%)","1962-02-09","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"27","1102 亞泥","亞泥","亞洲水泥","Asia Cement Corporation","Asia Cement","1102","ID 03244509","台北市大安區敦化南路二段 207號30, 31樓","30/F, 207, Tun Hua S. Rd. Sec.2, Taipei, Taiwan","1957-03-21","1962-06-18","Current","1","TSE","02-27338000","http://www.acc.com.tw","徐旭東","李坤炎","吳玲綾(副總經理)","周維崑(副總經理)","5901","33614471980","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷","水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷","其他未述及之項目請參照本公司營業執照之所營事業","2019/12:水泥及熟料(100%)","1962-06-18","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"28","1103 嘉泥","嘉泥","嘉新水泥","Chia Hsin Cement Corp.","Chia Hsin Cement","1103","ID 11892801","台北市中山區中山北路二段96號 1樓","1/F, 96, Chung Shan N. Rd. Sec.2, Taipei, Taiwan","1954-12-13","1969-11-27","Current","1","TSE","02-25515211","http://www.chcgroup.com.tw","張剛綸","祁士鉅","周月珍(財務主管)","王立心(執行副總經理)","410","7747805480","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","水泥、生產、銷售","0","0","2019/12:卜特蘭第一種水泥(100%)","1969-11-27","1969-11-14","0000-00-00","0000-00-00","0000-00-00",\N
"29","1104 環泥","環泥","環球水泥","Universal Cement Corporation","Universal Cement","1104","ID 07568009","台北市中山區南京東路二段 125號10樓","10/F, 125, Nanking E. Rd. Sec.2, Taipei, Taiwan","1960-03-21","1971-02-02","Current","1","TSE","02-25077801","http://www.ucctw.com","侯博義","侯智升","楊宗仁(財務長)","楊宗仁(經理)","402","6536091920","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","水泥原料熟料及水泥製品原料之開採製造生產運銷","石膏板及其原料生產加工運銷，裝潢工程設計安裝","前各項有關產品之進出口代理銷售業務","2019/12:預拌混凝土(63%),石膏板(20.9%),水泥(15.7%)","1971-02-02","1971-02-01","0000-00-00","0000-00-00","0000-00-00",\N
"30","1107 建台","建台","建台水泥","Chien Tai Cement Co., Ltd.","Chien Tai Cement","1107","ID 03322504","高雄市苓雅區自強三路3 號24樓之6","24F-6 No.3 Zihciang 3rd Road Lingya Dist., Kaohsiung, Taiwan","1966-01-05","1987-12-24","Current","1","0","07-5666299","http://www.chientai.com.tw","鄭吉田","鄭吉田","李依庭(財務主管)","鄭吉祥(課長)","4","3140353000","M25A 建設","M1100 水泥工業","M25A 建設","水泥工業","M25A","建設","M25A","建設","百貨公司經營業務。","委託營造廠商興建國民住宅、商業大樓之出租出售業務。","0","2016/12:租金收入(100%)","2007-10-22","1979-01-15","2007-10-22","2012-06-07","2017-07-04",\N
"31","1108 幸福","幸福","幸福水泥","Lucky Cement Corporation","Lucky Cement","1108","ID 40601248","台北市中山區松江路237 號15樓","15/F, 237, Song Chiang Rd., Taipei, Taiwan","1974-05-07","1990-06-06","Current","1","TSE","02-25092188","http://www.luckygrp.com.tw","陳兩傳","陳兩傳","陳韻如(副總經理)","溫秀菊(財務部經理)","494","4047380000","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","有關水泥及水泥製品之工業及相關事業","0","0","2019/12:水泥、爐石粉(56.4%),石材(16.9%),水泥(16.1%)","1990-06-06","1983-11-28","0000-00-00","0000-00-00","0000-00-00",\N
"32","1109 信大","信大","信大水泥","Hsing Ta Cement Co., Ltd.","Hsing Ta Cement","1109","ID 03279507","台北市中正區寶慶路37號 7樓","7/F, 37, Pao Ching Rd., Taipei, Taiwan","1964-03-15","1991-12-05","Current","1","TSE","02-23816731","http://www.hsingta.com.tw/","楊智雄","楊大寬","朱萍(財會部經理)","吳連富(副總經理)","774","3419578680","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","有關水泥及水泥製品之生產及運銷","0","0","2019/12:水泥及熟料(69.8%),其他(31.5%)","1991-12-05","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"33","1110 東泥","東泥","東南水泥","Southeast Cement Corp.","Tuna Cement","1110","ID 83078600","高雄市前金區文東里9 鄰五福三路21號 4樓之1","4/F-1, 21, Wu Fu 3 Rd., Kaohsiung, Taiwan, R.O.C.","1956-12-28","1994-10-22","Current","1","TSE","07-2711121","http://www.southeastcement.com.tw","陳敏斷","吳長直","黃薪翰(財務部經理)","黃薪翰(財務部經理)","119","5720007970","M11A 水泥製造","M1100 水泥工業","M11A 水泥製造","水泥工業","M11A","水泥製造","M11A","水泥製造","(1)水泥製造與買賣(2)石灰石之開採及銷售","(3)水泥加工製品及預拌混凝土之製造及銷售","(4)廠房及大樓出租業(5)廢棄物處理業","2019/12:水泥(86.5%),爐石粉(13.5%)","1994-10-22","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"34","1113 永康","永康","永康工業","Yung Kang Industrial Development Co., Lt","Yung Kang Ind. Dev.","1113","ID 44571908","台北市松山區南京東路五段25號之 1","0","1955-11-01","1978-11-20","Current","1","0","02-27611025","0","余勝焜","余勝焜","余勝焜(經理)","余勝焜(財務經理)","2","112644000","M11A 水泥製造","0","M11A 水泥製造","0","M11A","水泥製造","M11A","水泥製造","水泥","牛皮紙板","0","0","1978-11-20","1977-01-18","0000-00-00","1995-03-10","2007-02-16",\N
"35","1201 味全","味全","味全食品工業","Wei Chuan Foods Corporation","Wei Chuan Foods","1201","ID 11347802","台北市中山區松江路 125號","125, Sung Chiang Rd., Taipei, Taiwan","1953-09-22","1962-02-09","Current","2","TSE","02-25065020","http://www.weichuan.com.tw","陳宏裕","張教華","黃國禎(協理)","黃國禎(協理)","3119","5060629000","M12C 飲料乳品","M1200 食品工業","M12C 飲料乳品","食品工業","M12C","飲料乳品","M12C","飲料乳品","食品製造及販賣","0","0","2019/12:冷藏飲品(60.1%),乳品(23.8%),飲料(6.4%)","1962-02-09","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"36","1203 味王","味王","味王","Ve Wong Corporation","Ve Wong","1203","ID 07067309","台北市中山區中山北路二段79號 5樓","5/F, 79, Chung Shan N. Rd. Sec.2, Taipei, Taiwan","1959-07-04","1964-08-24","Current","2","TSE","02-25717271","http://www.vewong.com","陳清福","陳恭平","郭長城(副理)","魏璟雄(經理)","1982","2400000000","M12Z 其他食品","M1200 食品工業","M12Z 其他食品","食品工業","M12Z","其他食品","M12Z","其他食品","味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務","洋菸酒類及飲料之進口及經銷","汽車檢驗及修理","2019/12:味精(60.7%),速食麵(19.1%),其他(12.4%)","1964-08-24","0000-00-00","0000-00-00","0000-00-00","0000-00-00",\N
"37","1204 津津","津津","津津","Tsin Tsin Corp.","Tsin Tsin","1204","ID 11493608","台北市中山區中山北路一段11號15樓","15/F, 11, Chung Shan N. Rd., Sec.1, Taipei, Taiwan","1950-04-04","1964-08-24","Current","2","0","02-25118468","http://www.tsin.com.tw","王建朗","王建朗","陳博文(財務經理)","王建朗(總經理)","35","330000000","M12C 飲料乳品","0","M12C 飲料乳品","0","M12C","飲料乳品","M12C","飲料乳品","果汁飲料製造買賣","酒類買賣","海鮮類買賣","2005/12:飲料(77.8%),酒類(17.7%),冷藏品果汁飲料(4.5%)","1998-02-02","1964-10-01","0000-00-00","2005-10-04","2006-06-28",\N
